,role,firm,location,jd,time_ago
655,Business Analyst/นักวิเคราะห์ข้อมูลธุรกิจ,"Ingenious Simulation Co., Ltd.",Klongtoey,,5d ago
656,Commercial Data Manager,Global Power Synergy Public Company Limited,Sathorn,At least TOEIC 700Supervise the forecast and revenue budgetAnalyze and consolidate Commercial data,5d ago
657,Logistics Analyst (work at Wang Noi area),DHL Supply Chain (Thailand) Ltd.,Ayutthaya,Good communication both in Thai and EnglishAble to work 6 days in a weekAble to work at Wang Noi area,3d ago
658,Investment Analyst (Investment Advisory),Asia Plus Group Holdings Public Company Limited,Sathorn,"Portfolio Management, Investment AnalysisForeign Investment, Investment StrategyCFA, Fund Manager License is preferable",3d ago
659,New Business Development Analyst,"Boonrawd Brewery Co., Ltd.",Wattana,New Business DevelopmentFinancial AnalysisM&A,4d ago
660,Researcher,"Knight Frank Chartered (Thailand) Co., Ltd.",Huaykwang,"Collect, organize, and analyze dataCollaborate with the databaseResearch content on commercial in Thailand",4d ago
661,Collections Strategy Manager/ผู้เชี่ยวชาญด้านงานวางแผนและพัฒนากลยุทธ์การติดตามหนี้,Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto),Bangplee,Collection strategy specialistStrong analytical skillsRegarding database design development,6d ago
662,"Business Analyst - Fund Domain, THB 180K, Hybrid",Argyll Scott Asia,Bangkok,"Attractive Salary & Compensation PackageConvenient Location, Hybrid WorkProgressive & Innovative FinTech Company",5d ago
663,Sales and Marketing Analyst,Goodyear (Thailand) Public Company Limited,Klongluang,Transparent culture and collaborative teamsOne of the most respected brandsOne of the world's largest tire companies,6d ago
664,Business Analyst,Cathcart Associates Asia Recruitment Ltd.,Prakket,"Consultant companyFinancial technologySalary up to 80,000 THB + Benefits",6d ago
665,MIS - Campaign Quality & Automation (Contractor),Prudential Life Assurance (Thailand) Public Company Limited,Pathumwan,Business/ System AnalystAS400MIS,5d ago
666,CX Applied Intelligence (Principal),"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"Strategic CX innovations roadmapCX ecosystem in Fintech/Digital platformBig Data/AI, and Market research",5d ago
667,"Asst.Supervisor, Retail Business Analysis","TOA Paint (Thailand) Co., Ltd./บริษัท ทีโอเอ เพ้นท์ (ประเทศไทย) จำกัด",Bangsaotong,Experience in Marketing  1-3 yearsBachelor's degree in  MarketingWilling to work in manufacturing environment,2d ago
668,Customer Manager - Insight,Lotus's,Beungkum,Communicate with internal clients the businessQuantitative ResearchExperiences in Data Analysis,4d ago
669,"Associate, Management Information Support","DBS Vickers Securities (Thailand) Co., Ltd.",Pathumwan,3-4 years experience in management accountingExcellent command of EnglishGood command of Microsoft Excel,3d ago
670,Business Product Analyst,Deliveree (Thailand) Limited,Wattana,"Software & Application AnalystIT, Computer Science, Information SystemsFast Growing SEA Tech Startup",4d ago
671,Data Scientist & Data Engineer,Regional Container Lines Public Company Limited,Yannawa,"ETL data(Sql server,Oracle, Postgre sql),Power BIPython, DAX, Power queryWFH 50%, Rama3, English Speaking!!",5d ago
672,System Analyst (SA),Central Retail Corporation Ltd. (Central Technology Office),Bangrak,"Get requirement ,Create workflow , Resolve defectsNodeJS, Spring boots framework, K2 or CamundaJava, JavaScript",20h ago
673,BI Engineer,"Direct Asia (Thailand) Co., Ltd.",Sathorn,Work with professional BI teamInternational work environmentWork culture is fun and open,6d ago
674,"Operational Risk Analyst - 1 year contract (Up to 100,000)","PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Wattana,"IT Risk Management, Project ManagementBusiness AnalystFinancial Services, Banking",20h ago
675,Senior Global Equity Analyst,KTBST Securities Public Company Limited,Pathumwan,"Bachelor’s degree in finance or related field3+ years Exp in financial service within researchBonus, Provident Fund, Health insurance etc.",4d ago
676,"Business Analyst (Rama3, BTS line, Pakkret)","NTT DATA (Thailand) Co., Ltd.",Prakket,Good command in EnglishCompetitive packageBanking project experience,7d ago
677,Data Engineer - Data Platform (Entry to Senior),Kiatnakin Phatra Securities Public Company Limited,Wattana,SQL experience (Non-SQL experience is a plus)Advanced working SQL knowledgeExperience in building and optimizing 'big data',4d ago
678,Business Intelligence,"Shopee (Thailand) Co., Ltd.",Huaykwang,Comfortable working with large data sets and numbeSatifactory understanding in EnglishUp to 2 years experience or Fresh graduate,6d ago
679,Product Owner/Business Analyst – Banking Agent,Bangkok Bank Public Company Limited,Bangkor-laem,Product owner banking agentExperience in BA/Product roleManage banking agent project & payment development,15h ago
680,IT Specialist,Samsung Life Insurance (Thailand) Public Company Limited,Huaykwang,,20h ago
681,System Analyst,Chanwanich Digital Group,Bangrak,"5 years of experience in system analyst rolePL/SQL, MySQL, MS SQL, Oracle Database ,ETL ToolBachelor's or Master's degree in Computer Science",4d ago
682,Costing/GL Analyst,"Solvay Asia Pacific Co., Ltd.",Pathumwan,Solvay’s purpose is to bond peopleEnhance the capability of accounting knowledgeIncrease the complexity and difficulty to perform,5d ago
683,MIS Analytic (Digital Product Channel),Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,Good remuneration benefits and packagesFlexible working styleDigital Analytics & Intelligent,4d ago
684,Business Analyst,T.N. INCORPORATION LTD.,Sathorn,Analysing business requirementConducting user research and prototypingBanking and FinTech Industry,7d ago
685,Revenue Analyst  ( Amanta Hotel & Residence Ratchada),"Narai Property Co., Ltd.",Dindaeng,5 days work week4 years of hands-on Hotel Revenue Managementstrong command of both written and spoken English,4d ago
686,IT & Digital Solutions BA/นักวิเคราะห์ระบบ,FRONTIS,Bangkor-laem,Business Analyst ( IT / Technology )Passionate Team in a Consulting FirmAttractive Compensation & Career Development,20h ago
687,Salesforce Business Analyst,"Siam Commercial Bank Public Co., Ltd.  (SCB)",Jatuchak,Business analysis with Salesforce knowledgeDesign business workflow and customer journeyConduct test  SIT/UAT on digital products,5d ago
688,System Administrator  – DataX,"Siam Commercial Bank Public Co., Ltd. (Project 5)",Jatuchak,Managing and monitoring data platformsExperience in Big data solution and Azure stackScalable and reliable data infrastructure,6h ago
689,IT Business Analyst,AXA Insurance Public Company Limited,Sathorn,5+ years’ experience as an IT Business AnalystGood command in EnglishFlexi Time/Hybrid Work/ Near MRT Lumpini,6d ago
690,Business Analyst,"Vanness Plus Consulting Co., Ltd.",Bangkok,,7d ago
691,Junior Costing Analyst (Manufacturing) - Klong 1 Pathumthani,PRTR,Pathumthani > Muang,27  35 Years Old. Thai Only2 Yrs as Cost/Finance Analyst/Finance ControllerGood Command of Written/Spoken English,4d ago
692,System Analyst - Government Services (1 year Contract),Chanwanich Group,Bangrak,"> 5 years of experience in SAPL/SQL, Stored Procedures, MySQL, MS SQL, OracleDBBig Project and Nice co-worker",2d ago
693,Operation Analysis,Central JD Commerce Limited.,Bangsaotong,"Monitor all operation costs, labour costHigh excel skillAnalyze data",6d ago
694,Data Management Associate (New graduates are welcome),"Pompome Co., Ltd.",Sathorn,,20h ago
695,Assistant Investment Analyst Manager / Investment Analyst,Scan Inter Public Company Limited,Dindaeng,"Financial Modelling, Project FeasibilityInvestment AnalysisMerger and Acquisition (M&A), Joint venture (JV)",4d ago
696,Solution Development (Support Vietnam) - Project Management or Business Analyst,Central Digital,Bangrak,"ฺBusiness Partnership, IT Planning or IT StrategyUnderstand e2e system and operation, English SkillTransition business needed to IT Solution",3d ago
697,"SVP, Channel Strategic Planning","Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"Strategic Planning branch OperationsBusiness Improvement ProcessProcess Design, Change Management",20h ago
698,Data & Technology Consultant (Financial Services),KPMG Phoomchai Audit Ltd.,Sathorn,"Degree in IT,Computer Science, Business or relatedData, Cloud Solution, BI, AI, Machine LearningProficiency in spoken and written Thai and English",6d ago
699,Senior Business Analyst - Collection Center Project,Bangkokbank (BBL),Bangkor-laem,"ป.ตรี/ป.โท สาขาวิศวกรรมศาสตร์/วิทยาการคอมพิวเตอร์ประสบการณ์ 5 ปีขึ้นไปในงานด้าน Business Analystมีทักษะการคิดวิเคราะห์, ความคิดเป็นระบบ, มุ่งมั่น",20h ago
700,Senior Quantitative Analyst in Risk Management,Kiatnakin Phatra Financial Group,Wattana,Bachelor’s degree or above in financial mathematicStrong in Excel VBA and VB .NET3 years experience in Capital Market or related,20h ago
701,Business Development Analyst/ Senior Analyst,"Mitr Phol Sugar Corp., Ltd.",Klongtoey,Corporate strategyBusiness DevelopmentMarket reseach,5d ago
702,Data Engineer (Platform/Pipeline/Product),"TD Tawandang Co., Ltd.",Bangrak,"Data Platform/Pipelines/ProductsAirflow, Spark, Kafka ecosystemPython, SQL",5d ago
703,Financial Analyst,THAI UNION GROUP PCL.,Phayathai,"Bachelor's degree in Finance, Accounting3 yrs exp. of project management/feasibility studyConsolidate and analyze financial data",6d ago
704,EMS Strategic Analyst Operation Executive,Emerson (Thailand) Ltd.,lamlookka,"5+ years’ experience in Strategic ProcurementResponsible including Strategic SourcingExcellent Data Analytical skills, WFH policy",4d ago
705,IT Business Systems Analyst - Finance,"Lumentum International (Thailand) Co., Ltd.",Klongluang,"Hyperion Essbase/Planning;Oracle EPBCSUnix, MaxL, EPM,  FR,   EDMCS,  FCCS",4d ago
706,Data Engineer (BCH),"Benchachinda Holding Co., Ltd.",Bangkhen,"Big DataSQL, Python, RData Pipeline, Data Integration",4d ago
707,Web Data Master/Web Data Master,CP ALL PUBLIC COMPANY LIMITED (24 SHOPPING),Prakket,E-commerceWeb E-commerceWeb Master,5d ago
708,Financial Analyst - Public Company (40-60K),MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,"Financial projection, MIS reportFinancial strategy, Investment analystGood English communication",4d ago
709,ฺBusiness Analyst - Specialist / Sr. Specialist Level,Thai Life Insurance Public Company Limited,Dindaeng,"Minimum 5 Years' experience in BA, Project Mgt.Would be Insurance projects would be an advantage.WFH & Flexible Working Hours",5d ago
710,Web/App Operation Analyst,Central Retail Corporation (CRC Talent Acquisition),Pathumwan,"Design, develop, and implement applicationsProvide the installation, maintenanceAssess and analyze customer needs",4d ago
711,Data Analyst,"Ascend Group Co., Ltd.",Bangkok,Attractive BenefitGood LocationFlexible Hours,12d ago
712,Financial Management Analyst,US Embassy Bangkok,Bangkok,"Bachelor’s degree in accounting, finance4 years in accounting,budgeting,financial planningTOEIC score of at least 855",3d ago
713,Senior Marketing and Persona Analytics (Data Analytics/Data Science/Data Engineer),KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,SQL/PhytonData Analytics / Persona AnalyticsDatabase Management,7d ago
714,IFRS Business Analyst,Ancor Thailand,Pathumwan,Competitive SalaryInsurance cover spouse and their childrenInternational environment,6d ago
715,MIS Manager/ผู้จัดการแผนกวิเคราะห์ผลงานฝ่ายขาย,Thai Credit Retail Bank Public Company Limited,Bangkok,"วิเคราะห์ข้อมูล, นำเสนอรายงาน, ออกแบบรายงานMIS, Data Analysist, Sales Performance ReportExcel Expert, Presentation Skill, Analytical Skill",3d ago
716,Payroll Analyst (Dutch Speaking),ExxonMobil Limited,Klongtoey,Bachelor degree in Business Related fields0-5 years of experienceGlobal Work Environment,20h ago
717,Senior System Analyst (MSyne Innovations - MFEC Group of Company),MSyne Innovations Company Limited,Jatuchak,Big Data Analytics and AI platformWork with Team lead and ClouderaHybrid working,6d ago
718,Retail Profit Analysis and Pricing Manager (Urgently Required),"TD Tawandang Co., Ltd.",Bangrak,Developing and executing TD's pricing strategyStrong analytical & critical thinking skillsExp in pricing function & retail business are plus,2d ago
719,Data Engineer (Business Consultant),ABeam Consulting (Thailand) Ltd.,Sathorn,"AWS Glue, Redshift, S3Data ManagementIT Implementation",6d ago
720,"Associate Consultant, Primary Intelligence",IQVIA Inc.,Bangrak,,4d ago
